"Family","Class","What it measures","Key formula/basis","Evidence tier","Evidence note (primary source)","Strengths","Limitations","Agent-loop use"
"Test effectiveness (mutation score)","Verification","Does the suite actually detect faults","Mutation score = mutants killed / mutants generated","A — mutation validated; coverage NOT","Just et al. FSE 2014 (Defects4J, 5 OSS projects, ~230k mutants): 73% of real faults were coupled to generated mutants. Inozemtseva & Holmes ICSE 2014 (31k suites): coverage is only weakly correlated with effectiveness once suite size is controlled — 'should not be used as a quality target'","Mutation is the only test metric with fault-detection validity","Expensive (minutes to hours); language-specific tooling","HIGH-VALUE, HIGH-COST. The single best defense against an agent writing assertion-free tests"
"Coverage (line / branch / diff)","Verification","Which lines executed under test","Executed lines / total; diff coverage on changed lines only","C — weak as a target, useful as a gap-finder","Inozemtseva & Holmes 2014 (above)","Cheap, universal, diff-scoped version is genuinely actionable","Trivially gamed — the classic assertion-free test passes 100% coverage","Use as a NEGATIVE signal only (uncovered new code), never as a score"
"Readability models","Product / comprehension","Predicted human readability from surface + textual features","Buse & Weimer 2010 (25 syntactic features); Scalabrino et al. JSEP 2018 (104 features incl. textual/identifier quality)","B — trained on human ratings","Scalabrino 2018: +6.2% accuracy over structural-only models by adding textual features","Directly models the human judgment, not a proxy for it","Trained on small Java corpora; generalization across languages is unestablished","Medium. Identifier/naming quality is the transferable part"
"Change-level maintainability (delta)","Change","Whether THIS change made things better or worse","Delta Maintainability Model: classify changed lines low/high risk, score = low-risk proportion (di Biase et al., TechDebt 2019; implemented in PyDriller)","B — published, tool-backed","DMM extends the SIG model (Heitlager et al. QUATIC 2007) from snapshots to commits","The only formulation that fits a per-commit agent loop; immune to inherited legacy debt","Coarse (binary risk bucketing); SIG thresholds are proprietary in origin","HIGHEST fit for an agent loop — absolute scores punish agents for pre-existing debt"
"Standards-based weakness counts","Rule-based","Counted violations of a defined weakness catalog","ISO/IEC 5055:2021 (CISQ): security, reliability, performance-efficiency, maintainability weaknesses; CWE-mapped","B — standardized, not outcome-validated","ISO/IEC 5055:2021 — first ISO standard measuring quality from internal structure; CWE severity is expert consensus, not measured impact","Auditable, defensible, vendor-neutral, contract-usable","Counts ≠ risk; severity weighting is judgment, not evidence","Good for the 'hard gate' tier — deterministic and explainable"
"Technical debt / SQALE ratio","Composite / economic","Remediation effort as money or time","Debt ratio = remediation effort ÷ estimated redevelopment effort (Letouzey 2009)","D — plausible, unvalidated constants","Sonar's default '10 min per excess unit of cognitive complexity' is an assumption, not time-tracked data","Communicates to non-engineers; comparable over time within one tool","Fake precision — dollar figures inherit made-up per-rule remediation times","Report the components, never the dollar figure, to an agent"
"Security & supply chain","Rule-based / external","Vulnerable, typosquatted, hallucinated, or unmaintained dependencies","CVE/OSV matching, OpenSSF Scorecard checks, package-existence verification","A — direct outcome linkage","SonarQube 2026.4 shipped supply-chain gate conditions specifically for agents pulling typosquatted or hallucinated packages","Real, exploitable outcomes rather than proxies","Not a 'quality' signal — a distinct risk axis; noisy without reachability analysis","MANDATORY for agent loops — package hallucination is an agent-specific failure mode"
"Delivery outcomes (DORA)","Outcome","Throughput and stability of delivery","Lead time, deploy frequency, change failure rate, failed-deployment recovery time","A — largest longitudinal dataset","DORA 2025: AI adoption raises throughput ~2–18% while stability declines; change failure rates rise without strong automated testing and fast feedback","Measures what the business actually feels","Lagging; team-level, not attributable to a file or a commit","Ground truth for CALIBRATING the code-level metrics — not a per-edit signal"
"Defect density / field outcomes","Outcome","Realized defects per unit of code","Defects per KLOC; incident linkage to commits","A — the criterion variable","Standard in defect-prediction literature; the thing other metrics are validated AGAINST","Unarguable","Lagging by weeks to months; requires linked issue/incident data","The label to train and validate everything else against"
"Agent-cost metrics","Novel / proposed","How expensive this code is for an AI agent to work in","Context bytes needed to comprehend a change; retrieval locality (files touched per task); test feedback latency; blast radius (transitive dependents)","N — unvalidated, proposed","Adjacent evidence only: CodeScene/Borg 2026 — higher code health raises agent refactoring test-pass rates and smell removal (52% vs 5.7% with guidance); 'Not All Code Is Equal' (2026) — complexity degrades LLM reasoning","Measures the actual bottleneck in an agentic pipeline; genuinely unclaimed territory","No validation, no baselines, no prior art to lean on — you would be defining it","The defensible original axis, if you validate it rather than assert it"
"Gaming / tamper signals","Novel / adversarial","Whether the score improved because the CODE improved","Suppression-comment density (noqa/eslint-disable), deleted or skipped tests, coverage-exclusion drift, assertion-free tests, threshold edits in config, lookup-table blowups","N — motivated by evidence, unimplemented","SpecBench 2026: 90th-percentile reward-hacking gap grows ~27pp per 10x LOC; one agent wrote a 2,900-line lookup table to hit 97% validation with 0% held-out. Static-analysis feedback loop study (2025): iterative refinement fixed most issues but INTRODUCED new vulnerabilities in ~5% of iterations","Directly counters the failure mode created by putting a metric in an agent's loop","Adversarial arms race; false positives on legitimate suppressions","The feature no incumbent will build, because it makes their own score look uncertain"
